nome,avaliacao,preco_old,preco_avista,preco_parcelado
"Smartphone Samsung Galaxy A05 128GB Preto 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899,90","R$ 665,10","R$ 739,00"
"Smartphone Motorola Moto G04s 128GB Grafite 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip",4.8 (1475),"R$ 879,00","R$ 679,00","R$ 754,44"
"Smartphone Motorola Moto G24 128GB Rosa 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip",4.8 (2945),"R$ 999,00","R$ 719,10","R$ 799,00"
"Smartphone Samsung Galaxy A05 128GB Prata 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899,99","R$ 665,10","R$ 739,00"
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.7 (5596),"R$ 1.799,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Motorola Moto G24 128GB Grafite 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip",4.8 (2945),"R$ 999,00","R$ 719,10","R$ 799,00"
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB + 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (1594),"R$ 1.299,00","R$ 799,00","R$ 887,78"
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Escuro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.576,00","R$ 808,68","R$ 879,00"
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.7 (5596),"R$ 1.799,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Escuro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (2970),"R$ 1.999,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Samsung Galaxy S23 256GB Preto 5G 8GB RAM 6,1” Câm Tripla + Selfie 12MP",4.9 (5347),"R$ 6.499,00","R$ 2.998,80","R$ 3.332,00"
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.576,00","R$ 808,68","R$ 879,00"
"Smartphone Motorola Moto G34 128GB Preto 5G 4GB + 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (1594),"R$ 1.299,00","R$ 799,00","R$ 887,78"
"Smartphone Samsung Galaxy A05 128GB Verde 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899,99","R$ 665,10","R$ 739,00"
"iPhone 12 Apple 128GB Branco Tela 6,1” 12MP iOS",4.8 (7667),"R$ 4.299,00","R$ 2.969,10","R$ 3.299,00"
"Smartphone Motorola Moto G84 256GB Grafite 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (2914),"R$ 1.999,00","R$ 1.439,10","R$ 1.599,00"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Claro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (2970),"R$ 1.999,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Motorola Moto G04s 128GB Coral 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip",4.8 (1475),"R$ 879,00","R$ 679,00","R$ 754,44"
